street_name,address,point_of_interest,additional_info,lat_long
Jalan Teknokrat 4,Hadapan MIGHT,,,"2.920769444,101.6554917"
Persiaran Multimedia,Hadapan D'Puzle Cyberjaya,D'Pulze Cyberjaya,,"2.921561111,101.6512306"
Persiaran Rimba Permai,Hadapan LHDN Cyber,Menara Hasil Cyber (Utara),,"2.910988889,101.6496222"
Jalan Fauna 1,Bertentangan SMK Cyberjaya,,,"2.919130556,101.6403"
Jalan Pulau Meranti,Hadapan Laman Bayu,,,"2.960772222,101.6235778"
Persiaran Multimedia,Hadapan Cyberjaya Transport Terminal,,,"2.921211111,101.6507694"
Persiaran Tasik,Hadapan Sekolah Seri Puteri,,,"2.909886111,101.6653083"
Jalan Teknokrat 2,Hadapan MKN Embassy Techzone,,,"2.937769444,101.6552722"
Persiaran Tasik,Bertentangan Perdana Lake View East,,,"2.917625,101.6681806"
Persiaran Multimedia,Hadapan King Bakery,,,"2.923436111,101.6634778"
Persiaran Apec,Hadapan Magic,,,"2.90985,101.6558139"
Jalan Usahawan 2,Hadapan Cyber Sport Arena,Cyber Sports Arena,,"2.92675,101.6616111"
Persiaran Rimba Permai,Bertentangan LHDN Cyber,,,"2.911225,101.6496778"
Jalan Teknokrat 3,Hadapan Wisma Shell,Wisma Shell,,"2.927141667,101.6546333"
Persiaran Multimedia,Bertentangan MSC HQ,Multimedia Development Corporation (Mdec),,"2.923583333,101.65945"
Jalan Cyber Point 2,Hadapan CSF Cmputer Data Centre,,,"2.914486111,101.6493056"
Persiaran Apec,Hadapan Axis Enreka,,,"2.916080556,101.6574417"
Persiaran Multimedia,Hadapan BMW Showroom,,,"2.922052778,101.6541667"
Persiaran Multimedia,Hadapan MMU,Mmu Cyberjaya,,"2.922836111,101.642825"
Persiaran Tasik,Hadapan Perdana Lake View West,,,"2.915241667,101.66885"
Persiaran Multimedia,Hadapan Innovation Centre,Quill 4 Cyberjaya,,"2.922836111,101.6564417"
Jalan Teknokrat 1,Bertentangan Lim Kok Wing University,,,"2.940086111,101.6603528"
Jalan Cyber Point 5,Hadapan Kompleks Balai Polis Cyber,,,"2.9064,101.6534083"
Persiaran Ceria,Hadapan D'Melur Condo,,,"2.920541667,101.6469722"
Persiaran Bestari,Hadapan SK Cyberjaya 1,Cyberia Crescent Condominium,,"2.919327778,101.6378806"
Persiaran Bestari,Hadapan Cyberia Kondo,,,"2.925283333,101.6377444"
Persiaran Apec,Bertentangan Glomac Cyberjaya,,,"2.925083333,101.6576611"
Persiaran Multimedia,Hadapan Shaftsbury Square,,,"2.923675,101.6613306"
Persiaran Tasik,Bertentangan Perdana Lake View West,Perdana Lakeview West,,"2.9151,101.6691222"
Jalan Teknokrat 1,Hadapan Lim Kok Wing University,Lim Kok Wing University (Barat),,"2.939961111,101.6603611"
Persiaran Tasik,Hadapan Multimedia Super Coridor,Cyberview Garden Villas,,"2.921416667,101.6665806"
Jalan Teknokrat 3,Hadapan Glomac Cyberjaya,,,"2.925483333,101.6555444"
Persiaran Apec,Bertentangan Lim Kok Wing University,,,"2.941713889,101.6632611"
Jalan Teknokrat 4,Bertentangan MIGHT,Might Cyberjaya,,"2.920802778,101.6555861"
Persiaran Tasik,Hadapan Cyber Height Villa,Sek Seri Puteri Cyberjaya,,"2.909663889,101.6652639"
Lingkaran Cyber Point Barat,Hadapan The Domain Cyber,The Domain Neocyber (Timur),,"2.917019444,101.6502222"
Persiaran Multimedia,Bertentangan Shaftsbury King Bakery,Shaftsbury Square,,"2.923705556,101.6634111"
Jalan Cyber Point 2,Hadapan Wisma Mustapha Kamal,The Domain Neocyber (Selatan),,"2.914694444,101.649225"
Persiaran Rimba Permai,Hadapan Balai Bomba Cyber,Balai Bomba Cyber,,"2.911988889,101.6581028"
Persiaran Multimedia,Hadapan HSBC,Cyber 5,,"2.922233333,101.6539028"
Jalan Teknokrat 3,Bertentangan Wisma Shell,,BUS STOP BUILT IN WRONG POSITION,"2.927283333,101.6548194"
Persiaran Tasik,Hadapan Cyber View Garden,,,"2.920438889,101.6668806"
Persiaran Ceria,Hadapan LHDN Cyber,Menara Hasil Cyber (Barat),,"2.909508333,101.6492417"
Persiaran Apec,Hadapan Lim Kok Wing University,Lim Kok Wing University (Timur),,"2.941252778,101.6634083"
Jalan Cyber Point 5,Hadapan Basic Bay,Kompleks Balai Polis Cyber,,"2.906283333,101.6531889"
Persiaran Rimba Permai,Hadapan Wisma Dell,,,"2.911622222,101.6580167"
Jalan Pulau Meranti,Hadapan PMU Air Hitam,,PAIRING ISSUE,"2.961313889,101.6234083"
Persiaran Multimedia,Hadapan Cyberjaya Crescent Kondo,Mmu Cyberjaya,,"2.922366667,101.6408306"
Parsiaran Semarak Api,Bertentangan MMU,,,"2.933080556,101.6429583"
Persiaran Multimedia,Hadapan MSC HQ,,,"2.923347222,101.6595222"
Persiaran Tasik,Hadapan Perdana Lake View East,Perdana Lakeview East,,"2.917825,101.6683472"
,Hentian Bas Cyberjaya,Cyberjaya Transport Terminal,,"2.920497222,101.6518389"
Persiaran Apec,Hadapan Prima Avenue 1,,,"2.920866667,101.658425"
Parsiaran Semarak Api,Hadapan MMU,Cyberjaya Lake Carden,,"2.932927778,101.6427694"
Persiaran Ceria,Hadapan Wisma HP,,,"2.909677778,101.6489028"
Jalan Usahawan 2,Bertentangan Cyber Sport Arena,,,"2.926888889,101.6616722"
Persiaran Apec,Hadapan Glomac Cyberjaya,Glomac Cyberjaya (Timur),,"2.92525,101.6572833"
Persiaran Ceria,Hadapan Cyberia Crescent 2,Cyberia Crescent 2,,"2.920588889,101.6467361"
Persiaran Bestari,Bertentangan SK Cyberjaya 1,,,"2.919422222,101.6375667"
Jalan Teknokrat 3,Hadapan Quill 18,Glomac Cyberjaya (Barat),,"2.924322222,101.6553806"
Persiaran Apec,Bertentangan Wisma Avis,Universiti Malaysia Of Computer Science And Engineering,,"2.915613889,101.6575611"
Jalan Fauna 1,Hadapan SMK Cyberjaya,Cyberjaya Smart School Complex,,"2.919033333,101.6399583"
Persiaran Apec,Hadapan Prima Avenue 1,Prima Avenue 1,,"2.920936111,101.65865"
Jalan Teknokrat 2,Bertentangan MKN Embassy Techzone,Zon Teknologi Mkn Embassy,,"2.936669444,101.6558778"
Persiaran Bestari,Hadapan The ARC Cyberjaya,The Arc Cyberjaya,,"2.925133333,101.6374944"
Persiaran Multimedia,Bertentangan Shaftsbury Square,Century Square,,"2.923913889,101.6612583"
Persiaran Multimedia,Bertentangan Cyberia Crescent Kondo,,,"2.922563889,101.6405694"
Persiaran Multimedia,Hadapan DHL Cyber,,,"2.922536111,101.6562222"
Persiaran Apec,Hadapan Wisma Dell,Magic Center,,"2.910422222,101.6559639"
